show;number;title;duration;date;year;month;weekday;host;guest;category;topic;summary;network
A Complicated Profession;90;You're a Clone? Double Your U's;01:03:51;2024-08-25;2024;August;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Surprise! Your Star Wars pals Dan, Tony, and Kat are back to talk about developments in a galaxy far, far away, including the cancellation of The Acolyte, a trailer for Skeleton Crew, and plenty of our usual brand of nonsense.;The Incomparable
A Complicated Profession;89;"The Acolyte S1E8: ""The Acolyte""";01:24:55;2024-08-01;2024;August;Thursday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s the power of three! Your Star Wars pals Dan, Kat, and Tony return to discuss the season (series?) finale of The Acolyte, including what exactly Bazil was up to, how bad Vernestra is at cover ups, and which Star Wars characters would be viable political candidates. ;The Incomparable
A Complicated Profession;88;"The Acolyte S1E7: ""Choice""";01:24:51;2024-07-14;2024;July;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s back to the past for the penultimate episode of The Acolyte, and your Star Wars pals Dan, Tony, and Kat are here to discuss people who detest camping, Jedi away missions, and tightening the narrative screws, amidst other digressions.;The Incomparable
A Complicated Profession;87;"The Acolyte S1E6: ""Teach / Corrupt""";01:11:12;2024-07-07;2024;July;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Two roads diverged in a corpse-ridden wood. This week, your Star Wars pals Dan, Kat, and Tony follow a return to the split narrative and discuss parallel pacing, the compulsion of soup, and what exactly a mischievous space otter’s plan is.;The Incomparable
A Complicated Profession;86;"The Acolyte S1E5: ""Night""";01:09:56;2024-06-30;2024;June;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Night falls, and so do a lot of other people in this week’s stunning episode of The Acolyte. Your Star Wars pals Dan, Tony, and Kat discuss hidden darkness, running as a character trait, and what makes a villain so scary.;The Incomparable
A Complicated Profession;85;"The Acolyte S1E4: ""Day""";00:55:12;2024-06-24;2024;June;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s a leisurely stroll through the forest in the latest episode of The Acolyte. Your Star Wars pals Dan, Kat, and Tony unpack mysterious symbols, multiple species of space otters, and what are the canonically worst Sith names.;The Incomparable
A Complicated Profession;84;"The Acolyte S1E3: ""Destiny""";01:06:32;2024-06-17;2024;June;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;An even longer time ago in a galaxy far away, we got a flashback episode! Your Star Wars pals Dan, Tony, and Kat convene to discuss the third episode of The Acolyte including the Jedi’s exclusive child-snatching rights, spooky not entirely explained fires, and why you might really want to leave your murderous twin behind.;The Incomparable
A Complicated Profession;83;"The Acolyte S1E1-2: ""Lost / Found"" - ""Revenge / Justice""";01:14:52;2024-06-09;2024;June;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;The High Republic! An era of peace, the height of the Jedi, and…murder? Your Star Wars pals Dan, Kat, and Tony are back to talk this brand new show in a never-before-seen (on TV) era. We discuss Jedi sartorial choices, the oldest plot twist in the book, and when is a droid not a droid?;The Incomparable
A Complicated Profession;82;Tales of the Empire;01:07:47;2024-05-13;2024;May;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Is it good to be bad? The Tales of the Empire miniseries delves into the backstories of two villainous(?) characters, Morgan Elsbeth and Barris Offee and your Star Wars pals Dan, Tony, and Kat are here to discuss what worked and what didn’t, plus budgeting in the Empire, why did it have to be caves, and some unrelated theme songs.;The Incomparable
A Complicated Profession;81;"The Bad Batch S3E15: ""The Cavalry Has Arrived""";01:13:18;2024-05-05;2024;May;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;The Bad Batch comes to an end, and your Star Wars pals Dan, Kat, and Tony are here to see it off in style. We discuss zillo beasts roaming wild, the keys to evil base real estate, and Wrecker’s Fish Shack, as we bid adieu to our clone family…for now?;The Incomparable
A Complicated Profession;80;"The Bad Batch S3E14: ""Flash Strike""";01:00:40;2024-04-29;2024;April;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;The penultimate episode of The Bad Batch has somehow both a lot going on and maybe not enough? Your Star Wars pals are here to discuss turbolifts unsafe for children, robot hands and, of course, proximity sensors. ;The Incomparable
A Complicated Profession;79;"The Bad Batch S3E12-13: ""Juggernaut / Into the Breach""";00:49:29;2024-04-20;2024;April;Friday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;The Bad Batch nears its finale and your Star Wars pals Dan, Tony, and Kat are along for the ride as the team “rescues” an Imperial admiral and makes their way to Tantiss. We discuss stunning vs. shooting, stage business, and nice white uniforms.;The Incomparable
A Complicated Profession;78;"The Bad Batch S3E10-11: ""Identity Crisis / Point of No Return""";00:52:14;2024-04-06;2024;April;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s a one-two punch in the gut this week, as your Star Wars pals Dan, Tony, and Kat convene to talk the latest Bad Batch double feature. We discuss how we know the Empire are the bad guys, starship parking caves, and real downers. Plus a quick discussion of the recently announced Tales of the Empire mini-series.;The Incomparable
A Complicated Profession;77;"The Bad Batch S3E9: ""The Harbinger""";00:47:52;2024-03-31;2024;March;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;A fan favorite(?) returns this week and your Star Wars pals Dan, Tony, and Kat are here to discuss endangered wildlife, worried dad action, and what exactly the point of this episode is. ;The Incomparable
A Complicated Profession;76;"The Bad Batch S3E8: ""Bad Territory""";00:58:58;2024-03-24;2024;March;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s off to the space bayou this week, and your Star Wars pals Dan, Kat, and Tony are here to discuss vulnerable moments, Wrecker broadening his skillset, and the amazing Ming-Na Wen. Plus we read listener mail conspiracy theories and take a few moments to discuss the upcoming Star Wars series, The Acolyte.;The Incomparable
A Complicated Profession;75;"The Bad Batch S3E6-7: ""Infiltration / Extraction""";00:52:33;2024-03-17;2024;March;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;We return with a two-part Bad Batch episode, where our heroes find themselves in hot water yet again. Your Star Wars pals Dan, Kat, and Tony discuss the architecture of monasteries, clone attitudes, and the future of Star Wars animation. ;The Incomparable
A Complicated Profession;74;"The Bad Batch S3E5: ""The Return""";00:49:23;2024-03-10;2024;March;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;We venture back to a cozy ice planet full of surprises on this week’s episode of The Bad Batch, and your Star Wars pals Dan, Tony, and Kat are bundled up for the trip. We discuss quiet moments, surprise monsters, and, of course, the responses to our informal Moonlighting poll.;The Incomparable
A Complicated Profession;73;"The Bad Batch S3E4: ""A Different Approach""";00:48:41;2024-03-03;2024;March;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;The latest episode of The Bad Batch crash lands and your Star Wars pals Dan, Kat, and Tony are on hand to discuss currency exchange rates, pet regulations, and mixed reunions.;The Incomparable
A Complicated Profession;72;"The Bad Batch S3E1-3: ""Confined / Paths Unknown / Shadows of Tantiss""";00:57:12;2024-02-25;2024;February;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;The Bad Batch is back for its final season, and with it, your Star Wars pals Dan, Kat, and Tony. We discuss time jumps, video game jumping puzzles, and literal ticking clocks in this three-episode season premiere. ;The Incomparable
A Complicated Profession;71;"Ahsoka S1E8: ""The Jedi, the Witch, and the Warlord""";01:19:00;2023-10-06;2023;October;Friday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It all comes to an end with this: the season(?) finale of Ahsoka. Your Star Wars pals Dan, Kat, and Tony break down uneven trades, the problem with interlocking content, and Dave Filoni’s love of wolves wolves wolves.;The Incomparable
A Complicated Profession;70;"Ahsoka S1E7: ""Dreams and Madness""";01:05:23;2023-09-30;2023;September;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;There is somehow both too much and too little in this week’s episode of Ahsoka. Your Star Wars pals Dan, Kat, and Tony break down the installment, discussing the pointless play that is a disciplinary hearing, too much action, and what the heck is up with Baylan Skoll.;The Incomparable
A Complicated Profession;69;"Ahsoka S1E6: ""Far, Far Away""";01:00:41;2023-09-26;2023;September;Tuesday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Ezra! Thrawn! Nightsisters! Your Star Wars pals Dan, Tony, and Kat reconvene to discuss the latest episode of Ahsoka, including the Fates, sci-fi crossover casting, and Dave Filoni’s headwear. ;The Incomparable
A Complicated Profession;68;"Ahsoka S1E5: ""Shadow Warrior""";00:57:28;2023-09-16;2023;September;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Ahsoka deals with her trauma in this week’s episode as she confronts her old master—or does she? Your Star Wars pals Dan, Kat, and Tony discuss New Republic bureaucracy, animation callbacks, and new pajamas.;The Incomparable
A Complicated Profession;67;"Ahsoka S1E4: ""Fallen Jedi""";01:08:03;2023-09-07;2023;September;Thursday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;This week on Ahsoka, there’s some action: Lightsaber fights! Hyperspace jumps! Going AWOL! Your Star Wars pals Dan, Kat, and Tony are back to discuss Baylan Skoll’s motivations, New Republic childcare, and the world of the World Between Worlds. Also, most importantly, we now have shirts! ;The Incomparable
A Complicated Profession;66;"Ahsoka S1E3: ""Time to Fly""";00:58:02;2023-08-31;2023;August;Thursday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;In this week’s Ahsoka episode a lot of what happens is things…not happening. Your Star Wars pals Dan, Kat, and Tony return to discuss the most recent installment, including the democratization of the Force, pacing in animation vs. live action, and the latest edition of This Week in Marrok. Plus…outtakes?;The Incomparable
A Complicated Profession;65;Ahsoka S1E1-E2;00:59:10;2023-08-29;2023;August;Tuesday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;A brand new Star Wars series brings new heroes and new villains, but your same old Star Wars pals. Dan, Tony, and Kat reconvene to discuss Ahsoka. Is it just Rebels season 5? Can we even get past the opening crawl? And who do we think Marrok is, really?;The Incomparable
A Complicated Profession;64;"The Mandalorian S3E8: ""Chapter 24: The Return""";01:10:26;2023-04-23;2023;April;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;We’ve got to go back! Your Star Wars pals Dan, Tony, and Kat reconvene to discuss the season finale of The Mandalorian, including a surprising lack of betrayals, spectacular combat, and our pitch for a new series about Imperial construction protocols.;The Incomparable
A Complicated Profession;63;"The Mandalorian S3E7: ""Chapter 23: The Spies""";00:58:25;2023-04-16;2023;April;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s a trap! Your Star Wars pals Dan, Tony, and Kat return to discuss the latest episode of The Mandalorian, including Shadow Council technical difficulties, the ultimate fate of Mandalorians, and why this episode’s title is pluralized.;The Incomparable
A Complicated Profession;62;"The Mandalorian S3E6: ""Chapter 22: Guns for Hire""";01:04:57;2023-04-10;2023;April;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s time for another installment of good cop, helmet cop as your Star Wars pals Dan, Tony, and Kat discuss the latest episode of The Mandalorian. We talk Law & Order rules, Din’s droidist attitudes, and some quality Mandalawyering. ;The Incomparable
A Complicated Profession;61;We Have a Timeshare on Pabu;00:53:41;2023-04-08;2023;April;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;The Bad Batch, Season 2, Episodes 9-16;What a difference half a season makes. Your Star Wars pals Dan, Kat, and Tony reconvene to discuss the end of season two of The Bad Batch, including finding your direction, heartbreaking loss, and more than a few bizarre digressions. ;The Incomparable
A Complicated Profession;60;"The Mandalorian S3E5: ""Chapter 21: The Pirate""";00:48:22;2023-04-01;2023;April;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Remember all those things from earlier in the season? Turns out they were important, and your Star Wars pals, Dan, Tony, and Kat are here to discuss how they come together in the latest episode of The Mandalorian. We talk inefficient bureaucrats, Mandalorian relocation, and surprise cameos.;The Incomparable
A Complicated Profession;59;"The Mandalorian S3E4: ""Chapter 20: The Foundling""";00:53:59;2023-03-26;2023;March;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Don’t leave your foundlings unprotected! Your Star Wars pals Dan, Tony, and Kat are back to discuss the latest episode of The Mandalorian, including awkward shower rituals, dragon extortion schemes, and fan-serving flashbacks.;The Incomparable
A Complicated Profession;58;"The Mandalorian S3E3: ""Chapter 19: The Convert""";00:49:21;2023-03-19;2023;March;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Are you harboring any feelings of resentment to the New Republic? Your Star Wars pals Dan, Tony, and Kat are back to discuss the latest episode of The Mandalorian, including in-flight movies, moping castles, and halfway houses for recovering Imperials.;The Incomparable
A Complicated Profession;57;"The Mandalorian S3E2: ""Chapter 18: The Mines of Mandalore""";00:42:29;2023-03-13;2023;March;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Remember that thing that was so important last week? Just…don’t worry about it. Your Star Wars pals Dan, Tony, and Kat reconvene to discuss the last episode of The Mandalorian, including questionable pacing, fast quests, and why you should always doff your armor before taking a dip.;The Incomparable
A Complicated Profession;56;"The Mandalorian S3E1: ""Chapter 17: The Apostate""";00:44:28;2023-03-05;2023;March;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Mando’s back, and so are your Star Wars pals Dan, Tony, and Kat. We break down the third season’s premiere, discussing the puzzling place of The Book of Boba Fett, Greef Karga’s amazing droid retinue, and how much table-setting you can do before you need to sit down and eat.;The Incomparable
A Complicated Profession;55;A Video Game They Forgot to Make;00:55:19;2023-02-12;2023;February;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;The Bad Batch, Season 2, Episodes 1-8;The new season of The Bad Batch welcomes back some familiar faces, including your Star Wars pals Dan, Tony, and Kat, who are here to round up the first half’s eight episodes. We talk expensive animation, tonal whiplash, and how to put the ‘care’ in ‘characters.’;The Incomparable
A Complicated Profession;54;"Andor S1E12: ""Rix Road""";01:09:33;2022-11-28;2022;November;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Everything comes to a head on Ferrix in the season finale of Andor and your Star Wars pals Dan, Kat, and Tony discuss counterpoints, how rebellions start, and what might be in store for season two. ;The Incomparable
A Complicated Profession;53;"Andor S1E11: ""Daughter of Ferrix""";01:05:24;2022-11-21;2022;November;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;In the penultimate episode of Andor’s first season, everybody decides to go to Ferrix. Your Star Wars pals Dan, Kat, and Tony discuss Cassian making good decisions, a very Star Wars-y space battle, and whether Luthen is more than he seems.;The Incomparable
A Complicated Profession;52;"Andor S1E10: ""One Way Out""";00:56:41;2022-11-13;2022;November;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;If you were wondering when Andor would hit the gas pedal, buckle in. Your Star Wars pals Dan, Kat, and Tony break down the latest episode: Is Cassian stepping up to leadership? Will Mon Mother consider an indecent proposal? And what drives Luthen Rael? Just two episodes left to go!;The Incomparable
A Complicated Profession;51;"Andor S1E9: ""Nobody's Listening!""";01:08:01;2022-11-06;2022;November;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Well, we hope you’re listening to this week’s episode as your Star Wars pals Dan, Kat, and Tony break down the latest episode of Andor. Did Meero turn a corner? What happened on level 2? And what is up with Syril Karn?;The Incomparable
A Complicated Profession;50;"Andor S1E8: ""Narkina 5""";00:58:29;2022-10-29;2022;October;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Cassian lands in prison in this week’s episode of Andor and your Star Wars pals Dan, Kat, and a triumphantly returned Tony delve into the Empire’s dehumanizing tactics, Luthen and Saw’s banter, and of course, squigs. ;The Incomparable
A Complicated Profession;49;"Andor S1E7: ""Announcement""";00:56:58;2022-10-24;2022;October;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;In the aftermath of the Aldahani heist, the Empire is buckling down on this week’s episode of Andor. Your Star Wars pals Dan and Kat talk about how you can’t run away from trouble, what the Rebellion has in store for Cassian, and Syril Karn’s favorite cereal.;The Incomparable
A Complicated Profession;48;"Andor S1E6: ""The Eye""";00:52:02;2022-10-18;2022;October;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s high time for a heist on this week’s episode of Andor and your Star Wars pals Dan and Kat are here to break it all down: the tension, the casualties, and the little details that add color to the world. ;The Incomparable
A Complicated Profession;47;"Andor S1E5: ""The Axe Forgets""";00:43:15;2022-10-09;2022;October;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;The slow burn continues on this week’s Andor as tension builds ahead of the operation. We discuss the show’s understated style, shooting on location, and, of course, the pettiness of Imperial bureaucracy. ;The Incomparable
A Complicated Profession;46;"Andor S1E4: ""Aldhani""";00:56:02;2022-10-01;2022;October;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Cassian is drawn into the cause in the latest episode of Andor and we discuss what makes him such an attractive recruit, what’s up with Luthen’s closet, and why Imperial bureaucracy is such a delight. ;The Incomparable
A Complicated Profession;45;Andor S1E1-3;01:04:22;2022-09-25;2022;September;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;A new Star Wars TV show means the return of your faithful Star Wars pals. Dan, Tony, and Kat discuss the first three episodes of Andor: why is Cassian such a mooch? Is it a bad sign that you tailor your own uniform? Is this the first Star Wars show with a calendar? ;The Incomparable
A Complicated Profession;44;Obi-Wan Kenobi E6;00:52:06;2022-06-25;2022;June;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";"Tony Sindelar;Kat Benesh";NA;Obi-Wan Kenobi, Episode 6;As Obi-Wan Kenobi draws to a close, your Star Wars pals Dan, Tony, and Kat discuss what to take away from the show. Why can’t Obi-Wan and Vader leave each other alone? Does it provide a satisfying conclusion? And which characters do we want to see more from? Plus, we address several pieces of listener mail. ;The Incomparable
A Complicated Profession;43;Obi-Wan Kenobi E5;00:57:11;2022-06-18;2022;June;Friday;"Dan Moren;Tony Sindelar;Kat Benesh";"Tony Sindelar;Kat Benesh";NA;Obi-Wan Kenobi, Episode 5;With the penultimate installment of Obi-Wan Kenobi in the books, your Star Wars pals Dan, Tony, and Kat assess intermittent flashbacks, muddled blocking, expected and unexpected betrayals, and the effective arc of Obi-Wan. Plus, we speculate about where it all ends while listener mail has us confront the strategy of inevitable remakes.;The Incomparable
A Complicated Profession;42;Obi-Wan Kenobi E4;00:42:40;2022-06-11;2022;June;Friday;"Dan Moren;Tony Sindelar;Kat Benesh";"Tony Sindelar;Kat Benesh";NA;Obi-Wan Kenobi, Episode 4;If this week’s episode of Obi-Wan Kenobi felt a little like a video game, there’s a reason for that. Your Star Wars pals Dan, Tony, and Kat are back to discuss Imperial architecture, poor security protocols, and the economics of stormtrooper armor. Plus, we cover a slew of listener mail! ;The Incomparable
A Complicated Profession;41;Obi-Wan Kenobi E3;00:55:44;2022-06-04;2022;June;Friday;"Dan Moren;Tony Sindelar;Kat Benesh";"Tony Sindelar;Kat Benesh";NA;Obi-Wan Kenobi, Episode 3;Obi-Wan’s having a rough time of it in this week’s episode. Your Star Wars friends Dan, Tony, and Kat discuss an unlikely transport driver, Obi-Wan’s trauma, and why you really shouldn’t be gunning for Grand Inquisitor. We also answer some listener mail!;The Incomparable
A Complicated Profession;40;Obi-Wan Kenobi E1-2;01:02:37;2022-05-30;2022;May;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";"Tony Sindelar;Kat Benesh";NA;Obi-Wan Kenobi, Episodes 1 & 2;A new Disney+ Star Wars show means a return for your favorite Star Wars podcast, and Dan, Tony, and Kat are back to discuss Ewan McGregor’s return to his Jedi robes in Obi-Wan Kenobi. We see how our predictions play out, get some welcome twists, and discuss the dreariness of day jobs and commuting.;The Incomparable
A Complicated Profession;39;"The Book of Boba Fett S1E7: ""In the Name of Honor""";00:47:15;2022-02-10;2022;February;Wednesday;"Dan Moren;Tony Sindelar;Kat Benesh";"Tony Sindelar;Kat Benesh";NA;The Book of Boba Fett, Season 1, Episode 7;It all ends up here: in four battle scenes strung together. It’s the season (or series?) finale of The Book of Boba Fett and Dan, Tony, and Kat break it down. We get a whole lot of stuff here, including a Western, a war movie, and a…kaiju battle? Then we spin some conspiracy theories about what second season might look like. ;The Incomparable
